Date,Close
1/3/2017,90.08
1/4/2017,92.41
1/5/2017,92.7
1/6/2017,93.42
1/9/2017,94.76
1/10/2017,95.5
1/11/2017,92.65
1/12/2017,92.98
1/13/2017,93.34
1/17/2017,91.51
1/18/2017,92.27
1/19/2017,91.49
1/20/2017,91.14
1/23/2017,90.28
1/24/2017,90
1/25/2017,90.89
1/26/2017,90.57
1/27/2017,91.36
1/30/2017,90.13
1/31/2017,92.69
2/1/2017,93.47
2/2/2017,93.29
2/3/2017,94.35
2/6/2017,94.51
2/7/2017,94.14
2/8/2017,93.91
2/9/2017,94.85
2/10/2017,94.79
2/13/2017,95.43
2/14/2017,96.6
2/15/2017,98.32
2/16/2017,97.66
2/17/2017,98.12
2/21/2017,97.6
2/22/2017,96.77
2/23/2017,96.44
2/24/2017,96.63
2/27/2017,99.42
2/28/2017,99.08
3/1/2017,100.31
3/2/2017,99.93
3/3/2017,100.83
3/6/2017,99.94
3/7/2017,98.34
3/8/2017,99.22
3/9/2017,99.58
3/10/2017,100.2
3/13/2017,100.2
3/14/2017,99.33
3/15/2017,100.81
3/16/2017,99.53
3/17/2017,98.43
3/20/2017,98.86
3/21/2017,96.12
3/22/2017,96.64
3/23/2017,96.33
3/24/2017,96.69
3/27/2017,97.71
3/28/2017,97.34
3/29/2017,98.14
3/30/2017,97.8
3/31/2017,97.76
4/3/2017,96.99
4/4/2017,97.13
4/5/2017,95.81
4/6/2017,96.07
4/7/2017,96.84
4/10/2017,96.46
4/11/2017,96.12
4/12/2017,96.22
4/13/2017,96.86
4/17/2017,96.86
4/18/2017,95.89
4/19/2017,96.28
4/20/2017,96.78
4/21/2017,95.83
4/24/2017,97.25
4/25/2017,98.52
4/26/2017,98.8
4/27/2017,98.84
4/28/2017,99.21
5/1/2017,99.79
5/2/2017,99.42
5/3/2017,98.78
5/4/2017,99.48
5/5/2017,98.62
5/8/2017,96.48
5/9/2017,97.65
5/10/2017,97.3
5/11/2017,97.19
5/12/2017,97.62
5/15/2017,98.04
5/16/2017,98.43
5/17/2017,96.2
5/18/2017,97.42
5/19/2017,96.82
5/22/2017,97.11
5/23/2017,96.99
5/24/2017,97.05
5/25/2017,96.84
5/26/2017,96.07
5/30/2017,94.77
5/31/2017,95.25
6/1/2017,96.96
6/2/2017,98.6
6/5/2017,98.05
6/6/2017,97.6
6/7/2017,97.66
6/8/2017,98.25
6/9/2017,98.04
6/12/2017,97.74
6/13/2017,98.14
6/14/2017,98.7
6/15/2017,97.93
6/16/2017,97.58
6/19/2017,99.93
6/20/2017,101.2
6/21/2017,105.37
6/22/2017,106.7
6/23/2017,106.91
6/26/2017,106.57
6/27/2017,103.63
6/28/2017,105.63
6/29/2017,104.12
6/30/2017,103.36
7/3/2017,103.65
7/5/2017,105.1
7/6/2017,103.48
7/7/2017,104.15
7/10/2017,103.31
7/11/2017,104
7/12/2017,104.67
7/13/2017,105.47
7/14/2017,105.47
7/17/2017,105.03
7/18/2017,105.05
7/19/2017,106.54
7/20/2017,107.64
7/21/2017,108.29
7/24/2017,109.11
7/25/2017,107.94
7/26/2017,108.63
7/27/2017,106.6
7/28/2017,107.27
7/31/2017,106.36
8/1/2017,105.26
8/2/2017,105.68
8/3/2017,104.85
8/4/2017,105.19
8/7/2017,105.76
8/8/2017,104.76
8/9/2017,104.43
8/10/2017,101.48
8/11/2017,102.14
8/14/2017,103.19
8/15/2017,103.1
8/16/2017,103.36
8/17/2017,101.6
8/18/2017,101.35
8/21/2017,101.56
8/22/2017,103.51
8/23/2017,103.05
8/24/2017,104.29
8/25/2017,103.68
8/28/2017,105.63
8/29/2017,105.94
8/30/2017,108.11
8/31/2017,111.12
9/1/2017,111.95
9/5/2017,111.01
9/6/2017,111.45
9/7/2017,111.74
9/8/2017,111.37
9/11/2017,111.47
9/12/2017,111.72
9/13/2017,111.34
9/14/2017,110.69
9/15/2017,110.61
9/18/2017,110.72
9/19/2017,109.99
9/20/2017,110.92
9/21/2017,110.42
9/22/2017,109.98
9/25/2017,110.47
9/26/2017,109.4
9/27/2017,110.03
9/28/2017,110.18
9/29/2017,111.2
10/2/2017,112.88
10/3/2017,112.62
10/4/2017,113.49
10/5/2017,113.62
10/6/2017,113.49
10/9/2017,113.16
10/10/2017,113.2
10/11/2017,112.96
10/12/2017,112.38
10/13/2017,112.13
10/16/2017,112.28
10/17/2017,112.71
10/18/2017,111.99
10/19/2017,111.7
10/20/2017,110.6
10/23/2017,109.25
10/24/2017,108.39
10/25/2017,107.15
10/26/2017,104.66
10/27/2017,105.37
10/30/2017,105.55
10/31/2017,104.73
11/1/2017,104.06
11/2/2017,104.02
11/3/2017,105.62
11/6/2017,105.2
11/7/2017,104.67
11/8/2017,104.27
11/9/2017,103.68
11/10/2017,104.06
11/13/2017,103.36
11/14/2017,101.68
11/15/2017,102.08
11/16/2017,103.6
11/17/2017,103.74
11/20/2017,102.78
11/21/2017,103.57
11/22/2017,104.17
11/24/2017,104.21
11/27/2017,103.48
11/28/2017,103.77
11/29/2017,103.76
11/30/2017,105.25
12/1/2017,105.7
12/4/2017,104.03
12/5/2017,103.33
12/6/2017,102.58
12/7/2017,104.05
12/8/2017,106.07
12/11/2017,106.23
12/12/2017,105.76
12/13/2017,106.72
12/14/2017,105.17
12/15/2017,106.6
12/18/2017,106.36
12/19/2017,106.11
12/20/2017,106.66
12/21/2017,106.8
12/22/2017,106.94
12/26/2017,107.44
12/27/2017,107.59
12/28/2017,107.79
12/29/2017,106.77
1/2/2018,109.34
1/3/2018,110.88
1/4/2018,109.97
1/5/2018,109.83
1/8/2018,108.37
1/9/2018,110.41
1/10/2018,110.91
1/11/2018,111.23
1/12/2018,111.98
1/16/2018,110.6
1/17/2018,111.41
1/18/2018,111.27
1/19/2018,112
1/22/2018,115.52
1/23/2018,116.81
1/24/2018,115.9
1/25/2018,116.63
1/26/2018,118.04
1/29/2018,118.5
1/30/2018,116.27
1/31/2018,114.08
2/1/2018,113.98
2/2/2018,112.14
2/5/2018,107.18
2/6/2018,109.36
2/7/2018,109.41
2/8/2018,104.86
2/9/2018,105.67
2/12/2018,107.35
2/13/2018,107.54
2/14/2018,109.73
2/15/2018,110.76
2/16/2018,110.36
2/20/2018,109.25
2/21/2018,109.08
2/22/2018,108.42
2/23/2018,110.68
2/26/2018,111.49
2/27/2018,110.1
2/28/2018,108.08
3/1/2018,107.04
3/2/2018,109.65
3/5/2018,110.86
3/6/2018,111.12
3/7/2018,111.8
3/8/2018,112.62
3/9/2018,114.36
3/12/2018,114.73
3/13/2018,113.92
3/14/2018,113.78
3/15/2018,112.67
3/16/2018,112.74
3/19/2018,110.48
3/20/2018,110.54
3/21/2018,110.67
3/22/2018,108.13
3/23/2018,105.29
3/26/2018,108.11
3/27/2018,105.12
3/28/2018,105.98
3/29/2018,106.74
4/2/2018,102.52
4/3/2018,102.9
4/4/2018,105.89
4/5/2018,104.17
4/6/2018,101.03
4/9/2018,102.87
4/10/2018,105.7
4/11/2018,105.33
4/12/2018,106.72
4/13/2018,105.96
4/16/2018,105.24
4/17/2018,107.28
4/18/2018,107.35
4/19/2018,105.89
4/20/2018,104.96
4/23/2018,104.79
4/24/2018,103.27
4/25/2018,103.26
4/26/2018,105.3
4/27/2018,105.61
4/30/2018,103.65
5/1/2018,104.05
5/2/2018,102.68
5/3/2018,101.28
5/4/2018,102.35
5/7/2018,103
5/8/2018,102.41
5/9/2018,103.79
5/10/2018,103.73
5/11/2018,106.58
5/14/2018,107.68
5/15/2018,106.58
5/16/2018,107.53
5/17/2018,107.59
5/18/2018,107.8
5/21/2018,106.38
5/22/2018,106.72
5/23/2018,107.25
5/24/2018,107.34
5/25/2018,107.56
5/29/2018,107.08
5/30/2018,108.51
5/31/2018,108.51
6/1/2018,109.84
6/4/2018,109.13
6/5/2018,109.16
6/6/2018,110.52
6/7/2018,109.76
6/8/2018,110.11
6/11/2018,109.98
6/12/2018,110.91
6/13/2018,110.49
6/14/2018,111.38
6/15/2018,111.26
6/18/2018,110.43
6/19/2018,112.04
6/20/2018,113.9
6/21/2018,112.61
6/22/2018,112.23
6/25/2018,110.2
6/26/2018,109.57
